Countries fintechs,Country,Year,1A,1B,1C,2A,2B,2C,2D,2E,3A,3B,3C,3D,4A,4B,5A,5B,5C,6A,,,,,,,,,,,
6,"Korea, Rep.",2015,2.217962786,3.981030839,3.880470908,3.615234125,6.24575158,5.741376475,4.580795013,84.77,3.981030839,3.880470908,2.177127062,3.89728292,105.3377527,110.9984678,5.384505847,6.227934932,54.95289331,3.599999905,,,,,,,,,,,
5,Mexico,2015,2.521288309,4.338182889,3.729689581,2.814058903,3.716584216,4.910559546,5.108003639,43.46,4.338182889,3.729689581,2.417474335,5.645203261,6.269951149,85.83640136,5.490852318,5.971430684,31.76523906,4.313000202,,,,,,,,,,,
6,Philippines,2015,3.327984222,4.982372464,4.827448696,4.546944286,4.344784953,5.062737213,5.016776457,37,4.982372464,4.827448696,3.525395635,5.529789783,20.32653067,104.5023215,4.545613799,5.100531837,28.03333033,3.026000023,,,,,,,,,,,
2,Romania,2015,2.607622786,4.08108452,4.155194438,3.833498547,4.822072466,4.629005214,4.78012938,49.7645,4.08108452,4.155194438,2.931958726,4.489779792,37.57848726,105.5829217,4.229956806,5.061255417,41.89986938,6.811999798,,,,,,,,,,,
9,South Africa,2015,3.185589505,4.90144955,5.310755503,2.218669359,3.182820081,5.497833351,4.77665559,48.9,6.132150592,5.310755503,3.484413462,6.502779896,25.19761035,147.4645166,4.777014251,5.316583974,31.2766175,25.15600014,,,,,,,,,,,
5,Turkey,2015,2.469046005,5.191768947,4.945685165,3.42215703,4.651780443,5.31277244,5.065239098,46.25,5.191768947,4.945685165,2.870295411,5.673123736,32.25983053,92.96497103,5.236678858,5.544070931,23.63670594,10.23600006,,,,,,,,,,,
2,Ukraine,2015,2.349862095,3.897610056,3.453243182,3.673648865,4.326068964,4.113993656,3.692819132,41.8,3.897610056,3.453243182,2.617612532,2.974408445,5.425001182,138.0646549,4.364436244,5.216158451,46.48654872,9.140000343,,,,,,,,,,,
300,United States,2015,4.449503319,6.185997588,5.69872082,4.564571285,6.062282447,6.513137408,4.866901306,84.2,6.185997588,5.69872082,3.929245729,5.416728734,92.80341682,95.52954726,7,6.740441613,13.34000607,5.28000021,,,,,,,,,,,
3,Argentina,2014,1.745999175,3.126619729,2.922947984,3.197744879,4.035263265,3.973980394,3.122705429,55.8,3.126619729,2.922947984,1.672877443,4.39137483,12.40327278,142.5117584,4.870111305,5.207463963,20.12920355,8.015999794,,,,,,,,,,,
1,Bangladesh,2014,2.025266639,3.883094814,3.669592318,3.25857247,2.844740604,4.439032441,3.883649539,6.3,3.883094814,3.669592318,2.320350503,4.349783308,0.2023374324,63.76273324,4.342666657,4.740247129,21.69593986,4.349999905,,,,,,,,,,,
27,Brazil,2014,2.72324857,5.288585761,4.459101715,2.978993122,3.600096438,5.054831311,5.1458807,49.84799936,5.288585761,4.459101715,2.881247836,6.281253966,36.63486617,125.1878012,5.683675591,5.559712721,11.71556565,11.60900021,,,,,,,,,,,
36,Canada,2014,3.428124904,6.069974482,5.550339357,5.247425761,6.133426532,6.120898832,4.809688847,86.7658644,6.069974482,5.550339357,3.602299675,6.687130465,50.03762396,75.74108483,5.377951235,5.822193624,29.26595471,6.999000072,,,,,,,,,,,
5,Chile,2014,3.270340788,5.61234385,5.025258813,3.617812475,4.852955675,5.803260338,5.186963963,61.41815456,5.61234385,5.025258813,3.644180575,6.310037525,27.95783258,138.4977192,4.311600164,5.026250404,34.05438987,6.737999916,,,,,,,,,,,
2,Colombia,2014,2.576550649,4.86118018,3.774997627,3.481698063,3.920179798,4.507047927,4.621111037,48.9843188,4.86118018,3.774997627,2.788922043,5.871341002,4.946956836,103.1874415,4.623057049,4.918602221,18.00168387,8.692000389,,,,,,,,,,,
