Countries_fintechs,CB_Ranking,Country,Year,oneA,oneB,oneC,twoA,twoB,twoC,twoD,twoE,threeA,threeB,threeC,threeD,fourA,fourB,fiveA,fiveB,sixA
2,5,Mexico,2012,2.455336474,4.59560799,3.943287175,3.116603893,3.826804096,5.164314603,5.161852692,31,4.59560799,3.943287175,2.443549054,5.627586042,34.77475562,80.55043081,5.447977003,5.868931443,3.322000027
0,1000,Bolivia,2012,2.8896306,3.544771831,3.715840065,3.154835426,3.150645421,3.684213759,3.565875619,20,3.544771831,3.715840065,2.85656436,4.433378219,-2.773178293,72.30012259,3.018689894,3.816085951,2.048000097
0,1000,Ecuador,2012,2.239600812,3.622316918,3.978359388,3.362343528,3.247595008,4.397644037,3.619393919,24,3.622316918,3.978359388,2.451118361,4.670834987,8.701032312,102.1845607,3.683647592,4.293424469,3.234999895
0,1000,Guyana,2012,2.379849894,3.843117541,4.366152365,3.800906603,3.396335265,4.657844141,4.018753653,29.9,3.843117541,4.366152365,2.330228259,5.678402665,9.414223891,73.61194869,1.677496056,2.64628953,11.93299961
0,1000,Paraguay,2012,2.582074161,4.556169828,4.505690237,2.456165026,2.347805998,4.305649425,3.794131,23.6,4.556169828,4.505690237,3.163953084,5.54816002,-0.5236923197,91.63633147,2.937998041,3.547707608,4.085000038
0,1000,Peru,2012,3.014211384,4.877056906,5.255521433,3.382990939,3.914039367,5.136880956,5.004531218,34.3,4.877056906,5.255521433,3.649906259,6.212343128,26.58609641,100.1328805,4.221251175,4.705053627,3.108999968
0,1000,Suriname,2012,1.920467,3.16008,3.802924,3.41452525,2.549314,4.449628,3.612205,31.59,3.16008,3.802924,2.324253,5.543226,13.00697233,169.6414276,1.279274244,2.714464003,8.100000381
2,1000,Uruguay,2012,2.534635905,4.312607875,4.289463129,4.399917674,6.160821903,5.088948275,5.494707112,43.35,4.312607875,4.289463129,2.684930168,5.687912935,24.20137458,131.7138578,3.0440189,3.545883003,6.451000214
0,1000,Venezuela,2012,2.115645554,3.504988658,3.799633947,3.35404434,3.380215007,4.543005875,3.714524583,35.63,3.504988658,3.799633947,2.27712399,4.103650378,21.2598068,96.20449128,4.35309493,4.776735069,6.600999832
3,85,Argentina,2011,1.897883205,3.366384,3.24194,3.281825717,2.981205246,4.709434459,3.948938721,30.39995455,3.366384,3.24194,1.719086048,4.095255396,29.87412472,128.8373108,4.755679015,5.114248821,7.714000225
16,271,Brazil,2011,2.610181793,5.571288,4.479712,3.122279468,3.750485432,5.482373709,5.188665714,38.71291592,5.571288,4.479712,2.82474866,6.235448095,34.33782787,89.79299164,5.641115087,5.493259295,7.725999832
1,207,Chile,2011,3.162934617,5.838193,5.516477,3.186683965,4.699632326,6.0491065,5.211137396,33.98356089,5.838193,5.516477,3.654160096,6.485665448,37.36964357,96.93556976,4.138437936,4.927219408,8.423999786
2,133,Colombia,2011,2.541103512,4.923622,4.268952,3.47111713,3.507033134,4.650417519,4.884059345,45.52989695,4.923622,4.268952,2.859060147,5.679176662,28.52612823,92.33438873,4.561266099,4.710322197,10.98400021
3,120,Mexico,2011,2.251015237,4.326288,3.550495,2.880032197,3.458029316,4.936022102,5.03963926,25.94584591,4.326288,3.550495,2.355445702,5.54392634,29.2726518,76.20458221,5.43297862,5.865217643,5.302999973
0,1000,Bolivia,2011,2.442313052,3.931958,4.085701,2.952930268,2.635179027,3.773080709,3.425211031,11.1782992,3.931958,4.085701,2.260938433,5.040192386,-6.48583653,72.47796631,3.00471105,3.875787291,2.219000101
0,1000,Ecuador,2011,2.000633813,3.448392,3.771213,3.092620338,3.023440658,4.285038276,3.559298743,15.06155308,3.448392,3.771213,2.276484311,4.908906937,3.201272238,100.0711823,3.669990409,4.241539667,3.457999945
